Agency Department,State,Talent Size,Estimated Layoff
Department of Veterans Affairs,California,386380,45490
Department of Veterans Affairs,Florida,373300,43350
Department of Veterans Affairs,Texas,376970,41450
Department of Health and Human Services,Maryland,407510,34180
Department of the Navy,Virginia,460610,22653
Department of the Navy,California,351590,16920
Department of Defense,Virginia,288842,14940
Department of Veterans Affairs,Pennsylvania,192700,14380
Department of Veterans Affairs,New York,194702,14170
Department of Veterans Affairs,Ohio,178780,14030
Department of Veterans Affairs,North Carolina,171870,13370
Department of Veterans Affairs,Illinois,163200,12200
Department of Veterans Affairs,Georgia,150112,10500
Department of Veterans Affairs,Tennessee,136130,10060
Department of the Air Force,Oklahoma,178950,10000
Department of the Navy,Washington,197080,9800
Department of the Air Force,Ohio,155220,9170
Department of the Army,Alabama,173400,8930
Department of Veterans Affairs,Michigan,122340,8890
Social Security Administration,Maryland,97500,8850
Department of the Treasury,Texas,102260,8840
Department of Agriculture,California,97440,8620
Department of Veterans Affairs,Arizona,113100,8500
Department of the Treasury,Utah,78910,8210
Department of Veterans Affairs,Missouri,118810,8180
Department of Veterans Affairs,Virginia,122190,8180
Department of the Navy,Maryland,173330,8090
Department of Health and Human Services,Georgia,102770,7930
Department of Commerce,Maryland,135350,7670
Department of Veterans Affairs,Wisconsin,107250,7660
Department of the Air Force,Texas,163300,7430
Department of the Army,Texas,164640,7060
Department of the Air Force,Georgia,148160,6950
Department of Defense,Texas,128880,6890
Department of Commerce,Virginia,73338,6690
Department of the Treasury,California,70160,6620
Social Security Administration,California,57720,6610
Department of the Army,Virginia,152140,6540
Department of the Army,Maryland,145000,6400
Department of the Treasury,Pennsylvania,63370,6330
Department of the Air Force,Utah,127760,6090
Department of Veterans Affairs,Washington,100460,5830
Department of the Treasury,Tennessee,55230,5780
Department of the Treasury,Georgia,60580,5770
Department of the Navy,Florida,127960,5740
Department of Defense,Maryland,113610,5730
Department of Defense,Ohio,95340,5650
Department of the Navy,Hawaii,119510,5550
Department of the Treasury,New York,61350,5490
Department of the Treasury,Maryland,55160,5230
Department of the Treasury,Missouri,60350,5230
Department of Veterans Affairs,Minnesota,86980,5110
Department of the Air Force,Florida,120550,5070
Department of Veterans Affairs,Massachusetts,86550,5060
Department of Veterans Affairs,South Carolina,84952,4870
Department of Veterans Affairs,Oklahoma,75670,4850
Department of Veterans Affairs,Alabama,81910,4710
Department of Homeland Security,Virginia,100530,4550
Department of Veterans Affairs,Colorado,79790,4460
Department of Veterans Affairs,Indiana,76000,4320
Department of the Army,California,83670,4180
Department of Veterans Affairs,West Virginia,71380,4130
Department of Veterans Affairs,Arkansas,68230,4050
Department of Defense,California,84830,3850
Department of Veterans Affairs,Nevada,66420,3840
Department of the Air Force,California,92930,3810
Department of Veterans Affairs,Louisiana,65120,3720
Department of Veterans Affairs,Oregon,63110,3700
Department of the Navy,Pennsylvania,80320,3700
Department of Defense,Pennsylvania,79520,3660
Department of Veterans Affairs,Kentucky,60910,3600
Department of the Navy,Maine,72660,3490
Department of Veterans Affairs,Maryland,64730,3480
Department of the Army,Georgia,80320,3460
Department of the Army,Michigan,73980,3310
Department of Veterans Affairs,Kansas,57630,3280
Department of the Navy,North Carolina,71000,3240
Department of Agriculture,Oregon,50140,3190
Social Security Administration,Pennsylvania,37910,3120
Department of the Army,Pennsylvania,76440,3100
Department of Homeland Security,Texas,47000,3010
Department of Transportation,Texas,45980,3000
Department of Defense,Georgia,64940,2980
Department of the Army,North Carolina,75650,2980
Department of Veterans Affairs,Mississippi,51570,2920
Department of the Army,Kentucky,74000,2890
Department of Defense,North Carolina,61700,2850
Department of the Interior,California,66240,2850
Department of the Army,Illinois,69760,2830
Department of Veterans Affairs,Iowa,47250,2760
Department of the Air Force,Virginia,65540,2730
Department of the Interior,Colorado,64680,2710
Department of Transportation,California,37720,2680
Social Security Administration,New York,34670,2670
Social Security Administration,Texas,32910,2560
Department of the Army,New York,64180,2540
Department of the Air Force,Colorado,61660,2460
Department of the Army,Washington,58010,2370
Department of Agriculture,Montana,37330,2340
Department of the Army,New Jersey,52710,2300
Department of Agriculture,Idaho,34810,2270
